tSec,x,y,z,vx,vy,vz,
0,-1049836.53140614,-4275236.47811528,-6337381.51549226,5944.44654618582,2819.96862017239,-2885.42106463156,
10,-990347.503400983,-4246852.23606553,-6365960.52040821,5953.27322055433,2856.83867962556,-2830.33887326232,
20,-930772.784876688,-4218100.53198299,-6393987.48000848,5961.58453190109,2893.46050174008,-2775.01279784791,
30,-871117.532933406,-4188983.86395433,-6421459.9793761,5969.37979358334,2929.83094750745,-2719.44762636333,
40,-811386.911317375,-4159504.76134642,-6448375.65157153,5976.65836302931,2965.94689994118,-2663.64816625217,
50,-751586.089980092,-4129665.78458488,-6474732.17782535,5983.41964176399,3001.80526431133,-2607.61924402831,
60,-691720.244637216,-4099469.52493039,-6500527.28772698,5989.66307543384,3037.40296837758,-2551.36570487821,
70,-631794.556327234,-4068918.60425262,-6525758.75940938,5995.38815383031,3072.73696262124,-2494.8924122634,
80,-571814.210969901,-4038015.67480184,-6550424.41972988,6000.59441091234,3107.80422047661,-2438.20424752289,
90,-511784.398924455,-4006763.41897825,-6574522.14444691,6005.28142482758,3142.60173856178,-2381.30610947486,
100,-451710.314547632,-3975164.54909902,-6598049.85839282,6009.44881793219,3177.12653690908,-2324.20291401731,
110,-391597.155751487,-3943221.80716293,-6621005.53564267,6013.09625680887,3211.37565919529,-2266.89959372727,
120,-331450.123561048,-3910937.96461282,-6643387.199679,6016.22345228282,3245.34617297163,-2209.40109745816,
130,-271274.421671821,-3878315.82209571,-6665192.9235526,6018.83015943523,3279.03516989334,-2151.71238993516,
140,-211075.256007175,-3845358.20922057,-6686420.83003915,6020.91617761384,3312.43976594879,-2093.83845134837,
150,-150857.834275637,-3812067.98431387,-6707069.09179187,6022.48135044027,3345.55710168793,-2035.78427694362,
160,-90627.3655281325,-3778448.03417285,-6727135.93149001,6023.52556581374,3378.38434244971,-1977.55487661101,
170,-30389.0597152029,-3744501.27381643,-6746619.6219832,6024.04875591091,3410.91867858836,-1919.15527447117,
180,29851.8727557454,-3710230.646234,-6765518.4864317,6024.05089718148,3443.1573256981,-1860.59050845943,
190,90090.2214631348,-3675639.12213189,-6783830.89844247,6023.53201033958,3475.09752483607,-1801.86562990799,
200,150320.776413799,-3640729.69967759,-6801555.28220103,6022.49216035069,3506.73654274306,-1742.98570312644,
210,210538.32848541,-3605505.40424189,-6818690.1125991,6020.93145641416,3538.07167206199,-1683.95580498064,
220,270737.669868717,-3569969.2881387,-6835233.91535812,6018.85005194123,3569.10023155362,-1624.78102447043,
230,330913.594509531,-3534124.43036288,-6851185.2671484,6016.24814452887,3599.81956630947,-1565.46646230635,
240,391060.898550435,-3497973.93632583,-6866542.79570418,6013.12597592931,3630.22704796164,-1506.01723048557,
250,451174.380772172,-3461520.93758905,-6881305.17993429,6009.4838320157,3660.32007488956,-1446.43845186743,
260,511248.843034661,-3424768.5915957,-6895471.15002874,6005.32204274397,3690.0960724235,-1386.73525974881,
270,571279.090717626,-3387720.0814,-6909039.4875609,6000.64098211127,3719.55249304489,-1326.91279743952,
280,631259.933160778,-3350378.6153948,-6922009.02558554,5995.44106811115,3748.68681658369,-1266.97621783798,
290,691186.184102388,-3312747.42703857,-6934378.64873322,5989.72276242193,3777.49655007924,-1206.93068315207,
300,751052.662119074,-3274829.7745783,-6946147.29329956,5983.48657111952,3805.97922893723,-1146.78136405738,
310,810854.191066917,-3236628.94076818,-6957313.94732915,5976.7330439185,3834.13241622715,-1086.5334396613,
320,870585.600517842,-3198148.23259164,-6967877.65069768,5969.46277429479,3861.9537030956,-1026.19209698297,
330,930241.726197244,-3159390.98097934,-6977837.49518873,5961.67639945641,3889.4407089894,-965.762530515407,
340,989817.410421008,-3120360.54052518,-6987192.62456643,5953.37460028306,3916.59108184141,-905.249941803398,
350,1049307.50253191,-3081060.28920051,-6995942.23464387,5944.55810126296,3943.40249825561,-844.659539021244,
360,1108706.85933538,-3041493.62806655,-7004085.57334724,5935.22767042664,3969.87266369151,-783.996536550074,
370,1168010.34553458,-3001663.98098486,-7011621.94077585,5925.38411927742,3995.9993126479,-723.266154554534,
380,1227212.83416475,-2961574.79432605,-7018550.68925778,5915.02830271829,4021.78020884584,-662.473618558671,
390,1286309.20702686,-2921229.53667667,-7024871.22340138,5904.16111897482,4047.21314541067,-601.624159020876,
400,1345294.35512039,-2880631.69854422,-7030583.00014249,5892.78350951315,4072.29594505214,-540.723010907755,
410,1404163.17907535,-2839784.79206045,-7035685.52878737,5880.89645895654,4097.02646024487,-479.77541326727,
420,1462910.58958339,-2798692.35068278,-7040178.37105139,5868.50099499312,4121.40257340368,-418.786608800541,
430,1521531.50782796,-2757357.92889409,-7044061.1410934,5855.59818828161,4145.42219705802,-357.761843433127,
440,1580020.86591354,-2715785.10190064,-7047333.50554585,5842.18915235201,4169.0832740229,-296.706365885704,
450,1638373.60729385,-2673977.46532844,-7049995.18354058,5828.27504350177,4192.38377756616,-235.625427244475,
460,1696584.68719897,-2631938.63491786,-7052045.94673033,5813.85706068764,4215.32171157159,-174.524280531668,
470,1754649.07306136,-2589672.2462167,-7053485.61930595,5798.93644541363,4237.89511069777,-113.408180276509,
480,1812561.74494079,-2547181.95427166,-7054314.07800933,5783.51448161544,4260.10204053234,-52.2823820870543,
490,1870317.69594806,-2504471.43331828,-7054531.25214208,5767.59249554175,4281.94059774156,8.84785777674472,
500,1927911.9326675,-2461544.37646943,-7054137.12356986,5751.17185563306,4303.40891021551,69.9772828284367,
510,1985339.4755783,-2418404.4954024,-7053131.72672258,5734.25397239833,4324.50513720892,131.100636778715,
520,2042595.35947457,-2375055.52004451,-7051515.1485903,5716.84029829021,4345.2274694782,192.212663957207,
530,2099674.63388413,-2331501.19825747,-7049287.52871494,5698.93232757892,4365.57412941506,253.308109732448,
540,2156572.36348606,-2287745.29552034,-7046449.05917778,5680.5315962253,4385.54337117734,314.381720930189,
550,2213283.62852697,-2243791.59461122,-7042999.98458284,5661.63968175306,4405.13348081756,375.428246250338,
560,2269803.52523599,-2199643.89528772,-7038940.60203603,5642.25820312006,4424.34277640974,436.442436682871,
570,2326127.16623846,-2155306.01396604,-7034271.26112017,5622.38882058871,4443.1696081749,497.419045923121,
580,2382249.68096833,-2110781.78339893,-7028992.36386588,5602.03323559474,4461.61235860546,558.352830786807,
590,2438166.21607919,-2066075.05235236,-7023104.36471828,5581.19319061434,4479.6694425888,619.238551625113,
600,2493871.93585407,-2021189.68528092,-7016607.7704996,5559.87046902886,4497.33930752986,680.070972740002,
610,2549362.02261373,-1976129.56200206,-7009503.14036753,5538.06689498684,4514.62043347262,740.844862799839,
620,2604631.6771237,-1930898.57736911,-7001791.08576952,5515.78433326295,4531.51133322038,801.554995255257,
630,2659676.11899976,-1885500.64094303,-6993472.27039289,5493.02468911357,4548.01055245435,862.196148755086,
640,2714490.58711205,-1839939.67666316,-6984547.41011073,5469.78990812899,4564.11666985053,922.763107562115,
650,2769070.33998768,-1794219.62251656,-6975017.2729237,5446.08197608213,4579.82829719434,983.250661968391,
660,2823410.65621173,-1748344.43020645,-6964882.67889767,5421.90291877399,4595.14407949313,1043.65360870979,
670,2877506.83482678,-1702318.06481943,-6954144.50009721,5397.25480187601,4610.06269508621,1103.96675137963,
680,2931354.19573082,-1656144.50449155,-6942803.66051496,5372.13973076961,4624.5828557525,1164.18490084109,
690,2984948.08007353,-1609827.74007346,-6930861.13599683,5346.55985038308,4638.70330681562,1224.30287563839,
700,3038283.85065089,-1563371.77479442,-6918317.95416322,5320.51734502623,4652.42282724676,1284.31550240663,
710,3091356.89229822,-1516780.62392533,-6905175.194326,5294.01443822291,4665.74022976498,1344.21761628016,
720,3144162.61228143,-1470058.31444072,-6891433.9874015,5267.05339254177,4678.65436093543,1404.0040612997,
730,3196696.44068664,-1423208.88467987,-6877095.51581942,5239.63650942533,4691.16410126531,1463.66969081812,
740,3248953.83080802,-1376236.38400686,-6862161.01342769,5211.76612901777,4703.2683652978,1523.20936790492,
750,3300930.259534,-1329144.8724698,-6846631.76539329,5183.44462999154,4714.96610170411,1582.61796574972,
760,3352621.22773163,-1281938.42045905,-6830509.10809901,5154.67442937303,4726.2562933738,1641.89036806479,
770,3404022.26062928,-1234621.10836461,-6813794.42903623,5125.45798236744,4737.13795750367,1701.02146948692,
780,3455128.90819751,-1187197.02623263,-6796489.16669367,5095.79778218316,4747.61014568529,1760.006175979,
790,3505936.74552828,-1139670.273421,-6778594.81044212,5065.69635985535,4757.67194399165,1818.83940523162,
800,3556441.37321226,-1092044.9582541,-6760112.90041516,5035.156284069,4767.32247306304,1877.51608706521,
810,3606638.41771451,-1044325.19767673,-6741045.0273858,5004.18016098107,4776.56088819247,1936.03116383318,
820,3656523.53174825,-996515.116907153,-6721392.83263922,4972.77063404147,4785.38637941081,1994.37959082655,
830,3706092.39464693,-948618.849089253,-6701158.00784126,4940.93038381229,4793.79817157169,2052.55633668056,
840,3755340.71273442,-900640.534943928,-6680342.29490301,4908.66212778493,4801.7955244363,2110.5563837837,
850,3804264.21969335,-852584.322419568,-6658947.48584119,4875.96862019429,4809.37773275786,2168.37472868946,
860,3852858.67693168,-804454.366341723,-6636975.42263443,4842.85265182931,4816.54412636566,2226.00638253111,
870,3901119.87394717,-756254.828061921,-6614427.99707539,4809.31704983919,4823.29407024819,2283.44637143944,
880,3949043.62869008,-707989.875105669,-6591307.15061868,4775.36467753458,4829.62696463497,2340.68973696357,
890,3996625.78792373,-659663.680819638,-6567614.87422457,4740.99843418298,4835.54224507652,2397.73153649453,
900,4043862.22758301,-611280.424018067,-6543353.20819842,4706.22125479787,4841.03938252175,2454.56684369104,
910,4090748.85313079,-562844.288628401,-6518524.24202591,4671.03610992127,4846.11788339229,2511.19074890724,
920,4137281.59991205,-514359.463336211,-6493130.1142039,4635.44600539933,4850.77728965278,2567.59835962127,
930,4183456.43350582,-465830.14122943,-6467173.01206705,4599.45398215111,4855.0171788769,2623.7848008642,
940,4229269.35007466,-417260.519441951,-6440655.17161018,4563.06311593069,4858.83716430836,2679.74521564817,
950,4274716.37671186,-368654.798796648,-6413578.8773063,4526.27651708306,4862.23689491655,2735.47476539305,
960,4319793.57178606,-320017.18344786,-6385946.46192041,4489.09733029443,4865.21605544685,2790.9686303507,
970,4364497.02528342,-271351.880523402,-6357760.30631908,4451.5287343376,4867.77436646528,2846.22201002613,
980,4408822.85914719,-222663.099766161,-6329022.83927581,4413.57394181334,4869.91158439792,2901.23012359514,
990,4452767.22761465,-173955.053175319,-6299736.53727227,4375.23619888853,4871.62750156527,2955.98821031796,
1000,4496326.31755151,-125231.954647253,-6269903.92429541,4336.51878503188,4872.92194621198,3010.49152994897,
1010,4539496.34878356,-76498.0196161635,-6239527.57163045,4297.42501274786,4873.79478253256,3064.73536314244,
1020,4582273.57442568,-27757.4646944662,-6208610.0976499,4257.95822730949,4874.24591069339,3118.71501185457,
1030,4624654.28120823,20985.4926870286,-6177154.16759855,4218.1218064902,4874.27526685175,3172.4257997423,
1040,4666634.78980067,69726.6346391064,-6145162.49337445,4177.91916029512,4873.88282317212,3225.86307255921,
1050,4708211.45513258,118461.743174293,-6112637.833306,4137.35373069176,4873.06858784036,3279.02219854907,
1060,4749380.66671185,167186.600567133,-6079582.99192506,4096.42899133996,4871.83260507588,3331.89856883746,
1070,4790138.84894036,215896.989714574,-6046000.81973622,4055.14844732098,4870.17495514214,3384.48759782189,
1080,4830482.46142672,264588.69449646,-6011894.21298211,4013.51563486539,4868.09575435562,3436.78472356081,
1090,4870407.99929649,313257.500136093,-5977266.11340484,3971.53412107946,4865.59515509325,3488.78540816169,
1100,4909911.99349952,361899.193560875,-5942119.50800361,3929.20750366969,4862.67334579838,3540.48513816843,
1110,4948991.01111456,410509.563762991,-5906457.42878836,3886.53941066514,4859.33055098514,3591.87942494825,
